subscription_id,customer_id,plan,monthly_fee,start_date,end_date,active
1,1,Free,29,2025-01-01,,Yes
2,2,Gold,49,2025-01-01,,Yes
3,3,Platinum,0,2025-01-01,,Yes
4,4,Platinum,0,2025-01-01,,Yes
5,5,Platinum,29,2025-01-01,,Yes
6,6,Free,0,2025-01-01,,Yes
7,7,Platinum,0,2025-01-01,,Yes
8,8,Free,49,2025-01-01,,Yes
9,9,Free,49,2025-01-01,,Yes
10,10,Platinum,29,2025-01-01,,Yes
11,11,Gold,49,2025-01-01,,Yes
12,12,Platinum,29,2025-01-01,,Yes
13,13,Gold,0,2025-01-01,,Yes
14,14,Free,49,2025-01-01,,Yes
15,15,Platinum,29,2025-01-01,,Yes
16,16,Gold,49,2025-01-01,,Yes
17,17,Platinum,29,2025-01-01,,Yes
18,18,Platinum,29,2025-01-01,,Yes
19,19,Free,0,2025-01-01,,Yes
20,20,Free,29,2025-01-01,,Yes
21,21,Gold,0,2025-01-01,,Yes
22,22,Platinum,29,2025-01-01,,Yes
23,23,Platinum,29,2025-01-01,,Yes
24,24,Gold,29,2025-01-01,,Yes
25,25,Free,49,2025-01-01,,Yes
26,26,Platinum,29,2025-01-01,,Yes
27,27,Free,29,2025-01-01,,Yes
28,28,Free,0,2025-01-01,,Yes
29,29,Gold,0,2025-01-01,,Yes
30,30,Free,0,2025-01-01,,Yes
31,31,Gold,0,2025-01-01,,Yes
32,32,Free,0,2025-01-01,,Yes
33,33,Platinum,0,2025-01-01,,Yes
34,34,Gold,49,2025-01-01,,Yes
35,35,Free,29,2025-01-01,,Yes
36,36,Free,29,2025-01-01,,Yes
37,37,Gold,0,2025-01-01,,Yes
38,38,Gold,0,2025-01-01,,Yes
39,39,Gold,49,2025-01-01,,Yes
40,40,Platinum,49,2025-01-01,,Yes
41,41,Platinum,49,2025-01-01,,Yes
42,42,Platinum,49,2025-01-01,,Yes
43,43,Platinum,49,2025-01-01,,Yes
44,44,Free,49,2025-01-01,,Yes
45,45,Platinum,0,2025-01-01,,Yes
46,46,Platinum,0,2025-01-01,,Yes
47,47,Platinum,49,2025-01-01,,Yes
48,48,Gold,49,2025-01-01,,Yes
49,49,Gold,49,2025-01-01,,Yes
50,50,Gold,29,2025-01-01,,Yes
51,51,Gold,0,2025-01-01,,Yes
52,52,Gold,29,2025-01-01,,Yes
53,53,Gold,49,2025-01-01,,Yes
54,54,Free,29,2025-01-01,,Yes
55,55,Gold,49,2025-01-01,,Yes
56,56,Platinum,49,2025-01-01,,Yes
57,57,Platinum,0,2025-01-01,,Yes
58,58,Gold,49,2025-01-01,,Yes
59,59,Platinum,49,2025-01-01,,Yes
60,60,Free,29,2025-01-01,,Yes
61,61,Platinum,0,2025-01-01,,Yes
62,62,Gold,0,2025-01-01,,Yes
63,63,Platinum,49,2025-01-01,,Yes
64,64,Free,29,2025-01-01,,Yes
65,65,Gold,49,2025-01-01,,Yes
66,66,Platinum,0,2025-01-01,,Yes
67,67,Platinum,29,2025-01-01,,Yes
68,68,Platinum,29,2025-01-01,,Yes
69,69,Free,49,2025-01-01,,Yes
70,70,Platinum,49,2025-01-01,,Yes
71,71,Free,29,2025-01-01,,Yes
72,72,Gold,29,2025-01-01,,Yes
73,73,Platinum,49,2025-01-01,,Yes
74,74,Free,29,2025-01-01,,Yes
75,75,Gold,0,2025-01-01,,Yes
76,76,Gold,0,2025-01-01,,Yes
77,77,Platinum,49,2025-01-01,,Yes
78,78,Gold,29,2025-01-01,,Yes
79,79,Platinum,49,2025-01-01,,Yes
80,80,Gold,49,2025-01-01,,Yes
81,81,Platinum,29,2025-01-01,,Yes
82,82,Platinum,49,2025-01-01,,Yes
83,83,Platinum,0,2025-01-01,,Yes
84,84,Free,49,2025-01-01,,Yes
85,85,Platinum,29,2025-01-01,,Yes
86,86,Free,49,2025-01-01,,Yes
87,87,Platinum,29,2025-01-01,,Yes
88,88,Gold,0,2025-01-01,,Yes
89,89,Platinum,29,2025-01-01,,Yes
90,90,Platinum,49,2025-01-01,,Yes
91,91,Free,49,2025-01-01,,Yes
92,92,Platinum,29,2025-01-01,,Yes
93,93,Gold,29,2025-01-01,,Yes
94,94,Free,29,2025-01-01,,Yes
95,95,Gold,29,2025-01-01,,Yes
96,96,Platinum,29,2025-01-01,,Yes
97,97,Platinum,29,2025-01-01,,Yes
98,98,Gold,29,2025-01-01,,Yes
99,99,Platinum,0,2025-01-01,,Yes
100,100,Free,49,2025-01-01,,Yes
